date,workerid,amount
Fri Jul 06 09:18:11 PDT 2018,A204JAK7QRDWVM,0.75
Fri Jul 06 09:19:01 PDT 2018,A1ZD8RU6YB0VEU,0.75
Fri Jul 06 09:23:59 PDT 2018,A3URNV625JS985,0.75
Fri Jul 06 09:24:17 PDT 2018,AZBH4LJ5SL456,0.75
Fri Jul 06 09:25:01 PDT 2018,A1LB9JOMFQ1UMG,0.75
Fri Jul 06 09:38:02 PDT 2018,A2H6K1XIK4LY7O,0.75
Fri Jul 06 09:38:43 PDT 2018,AEHONA1BIY9JB,0.75
Fri Jul 06 10:01:59 PDT 2018,A3TUCOUVSP9ZGY,0.75
Fri Jul 06 10:11:47 PDT 2018,A1V2H0UF94ATWY,0.75
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
